DEBUG-__init__-59:Using selector: KqueueSelector
DEBUG-on_building_construction_complete-157:Hatchery has completed.
DEBUG-on_building_construction_complete-157:Extractor has completed.
DEBUG-on_building_construction_complete-157:Extractor has completed.
DEBUG-on_building_construction_complete-157:SpawningPool has completed.
06-Dec-20 12:31:04format= - DEBUG - __init__ - ln: 59: Using selector: KqueueSelector
06-Dec-20 12:31:43format= - DEBUG - on_building_construction_complete - ln: 157: Hatchery has completed.
06-Dec-20 12:32:29format= - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-Dec-20 12:32:35format= - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
06-12-20 12:37:38 - DEBUG - __init__ - ln: 59: Using selector: KqueueSelector
06-12-20 12:38:21 - DEBUG - on_building_construction_complete - ln: 157: Hatchery has completed.
06-12-20 12:39:24 - DEBUG - on_building_construction_complete - ln: 157: Extractor has completed.
18-12-20 16:19:53 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 16:19:56 | DEBUG | on_building_construction_complete | ln:179: SpawningPool has completed.
18-12-20 16:20:12 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 16:20:17 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 16:20:18 | DEBUG | on_building_construction_complete | ln:179: Extractor has completed.
18-12-20 16:22:23 | DEBUG | on_building_construction_complete | ln:179: Hatchery has completed.
18-12-20 16:35:20 | DEBUG | __init__ | ln:623: Using proactor: IocpProactor
18-12-20 16:35:37 | DEBUG | on_building_construction_complete | ln:258: Hatchery has completed.
18-12-20 16:36:03 | DEBUG | on_building_construction_complete | ln:258: Extractor has completed.
18-12-20 16:36:05 | DEBUG | on_building_construction_complete | ln:258: Hatchery has completed.
18-12-20 16:36:08 | DEBUG | on_building_construction_complete | ln:258: SpawningPool has completed.
18-12-20 16:36:12 | DEBUG | on_building_construction_complete | ln:258: Hatchery has completed.
18-12-20 16:36:18 | DEBUG | on_building_construction_complete | ln:258: Extractor has completed.
18-12-20 16:36:19 | DEBUG | on_building_construction_complete | ln:258: Extractor has completed.
18-12-20 16:36:19 | DEBUG | on_building_construction_complete | ln:258: Extractor has completed.
18-12-20 16:36:20 | DEBUG | on_building_construction_complete | ln:258: Extractor has completed.
18-12-20 16:36:21 | DEBUG | on_building_construction_complete | ln:258: CreepTumorQueen has completed.
18-12-20 16:37:44 | DEBUG | __init__ | ln:623: Using proactor: IocpProactor
18-12-20 16:38:04 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:38:30 | DEBUG | on_building_construction_complete | ln:259: Extractor has completed.
18-12-20 16:38:32 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:38:36 | DEBUG | on_building_construction_complete | ln:259: SpawningPool has completed.
18-12-20 16:38:40 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:38:46 | DEBUG | on_building_construction_complete | ln:259: Extractor has completed.
18-12-20 16:38:47 | DEBUG | on_building_construction_complete | ln:259: Extractor has completed.
18-12-20 16:38:49 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:38:56 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:38:57 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:39:03 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:39:04 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:39:11 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:39:11 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:39:12 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:39:15 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:39:21 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:39:21 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:39:22 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:39:25 | DEBUG | on_building_construction_complete | ln:259: CreepTumor has completed.
18-12-20 16:39:25 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:39:50 | DEBUG | __init__ | ln:623: Using proactor: IocpProactor
18-12-20 16:40:09 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:40:36 | DEBUG | on_building_construction_complete | ln:259: Extractor has completed.
18-12-20 16:40:37 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:40:41 | DEBUG | on_building_construction_complete | ln:259: SpawningPool has completed.
18-12-20 16:40:44 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:40:49 | DEBUG | on_building_construction_complete | ln:259: Extractor has completed.
18-12-20 16:40:50 | DEBUG | on_building_construction_complete | ln:259: Extractor has completed.
18-12-20 16:40:55 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
18-12-20 16:41:01 | DEBUG | on_building_construction_complete | ln:259: CreepTumorBurrowed has completed.
18-12-20 16:41:02 | DEBUG | on_building_construction_complete | ln:259: Hatchery has completed.
18-12-20 16:41:05 | DEBUG | on_building_construction_complete | ln:259: CreepTumorQueen has completed.
